Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"Constellation — Coworking Space",Constellation,"Global Catastrophic Risks","Global Catastrophic Risks",05/2023,"$3,000,000"
"Constellation — General Support",Constellation,"Global Catastrophic Risks","Global Catastrophic Risks",04/2024,"$3,200,000"
"​Constellation — Programmatic Activities and Operating Expenses ",Constellation,"Global Catastrophic Risks","Global Catastrophic Risks",06/2024,"$16,750,000"
"Consultants for Impact — Career Transition Fellowship","Consultants for Impact","Global Catastrophic Risks","Global Catastrophic Risks",06/2024,"$318,000"
"Consultants for Impact — General Support","Consultants for Impact","Global Catastrophic Risks","Global Catastrophic Risks",06/2024,"$1,397,395"
"Containment of Artemisinin Resistance in Eastern Myanmar","Population Services International",Co-Funding,"Global Health & Development; Co-Funding",08/2012,"$1,000,000"
"Convergent Research — Biosecurity Projects","Convergent Research","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",10/2023,"$400,000"
"Convergent Research — General Support","Convergent Research","Abundance &amp; Growth","Abundance &amp; Growth",05/2025,"$1,100,000"
"Convergent Research — Sequencing Roadmap","Convergent Research","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",06/2022,"$250,000"
"Cooperation Canada — International Assistance Advocacy in Canada","Cooperation Canada","Global Aid Policy","Global Aid Policy",01/2023,"$300,000"
"Cooperation Canada — International Assistance Advocacy in Canada (2024)","Cooperation Canada","Global Aid Policy","Global Aid Policy",03/2024,"$50,000"
"Cornell University — AI Safety Research","Cornell University","Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2023,"$342,645"
"Cornell University — Cytomegalovirus Study","Cornell University","Scientific Research","Scientific Research",05/2025,"$154,000"
"Cornell University — National Zoning Atlas","Cornell University","Housing Policy Reform","Housing Policy Reform",06/2022,"$312,400"
"Correctional Association of New York — General Support","Correctional Association of New York","Criminal Justice Reform","Criminal Justice Reform",04/2016,"$50,000"
"Corrections Accountability Project  — General Support (2018)","Corrections Accountability Project","Criminal Justice Reform","Criminal Justice Reform",11/2018,"$150,000"
"Corrections Accountability Project — General Support","Corrections Accountability Project","Criminal Justice Reform","Criminal Justice Reform",09/2017,"$100,000"
"Council of Energy, Environment and Water — Liquefied Petroleum Gas Survey","Council of Energy, Environment and Water","Global Public Health Policy","Global Public Health Policy; South Asian Air Quality",06/2024,"$131,500"
"Council on Energy, Environment and Water — Study on Alternative Proteins in India","Council of Energy, Environment and Water","Global Health and Wellbeing","Global Health and Wellbeing; Farm Animal Welfare",03/2025,"$148,000"
"Council on Energy, Environment, and Water — Air Quality Sensors in South Asia",,"South Asian Air Quality","South Asian Air Quality",02/2021,"$900,000"
"Council on Energy, Environment, and Water — Crop Residue Burning Research",,"South Asian Air Quality","South Asian Air Quality",09/2022,"$216,250"
"Council on Strategic Risks — Biological Weapons Prevention (March 2020)","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",03/2020,"$410,000"
"Council on Strategic Risks — Biological Weapons Prevention (November 2020)","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",11/2020,"$2,050,000"
"Council on Strategic Risks — Biosecurity Fellowship","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",05/2023,"$326,500"
"Council on Strategic Risks — Biosecurity Fellowship (2024)","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",07/2024,"$141,222"
"Council on Strategic Risks — Biosecurity Fellowships and Policy Work","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",09/2022,"$2,898,350"
"Council on Strategic Risks — Biosecurity Fellowships, Policy, and General Operations","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",11/2024,"$6,530,000"
"Court Watch Nola — Coalition Coordination","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",08/2019,"$57,000"
"Court Watch NOLA — Coalition Coordination (2020)","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",03/2020,"$35,000"
"Court Watch NOLA — General Support","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",04/2017,"$25,000"
"Court Watch NOLA — General Support","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",11/2018,"$200,000"
"Court Watch NOLA — General Support","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",10/2017,"$100,000"
"Court Watch NOLA — General Support (2018)","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",02/2018,"$100,000"
"Court Watch NOLA — General Support (2019)","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$500,000"
"Court Watch NOLA — General Support (2020)","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",05/2020,"$15,000"
"Court Watch NOLA — General Support (2021)","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",10/2021,"$250,000"
"Court Watch NOLA — Public Relations Support","Court Watch NOLA","Criminal Justice Reform","Criminal Justice Reform",03/2019,"$30,000"
"Crate Free USA — Campaigning Against Gestation Crates (2019)","Crate Free USA","Farm Animal Welfare","Farm Animal Welfare",08/2019,"$94,720"
"Crate Free USA — Campaigning Against Gestation Crates (2021)","Crate Free USA","Farm Animal Welfare","Farm Animal Welfare",02/2021,"$70,350"
"Crate Free USA — Crate-free Campaigns","Crate Free USA","Farm Animal Welfare","Farm Animal Welfare",08/2022,"$117,600"
"Crate Free USA — Exit Grant","Crate Free USA","Farm Animal Welfare","Farm Animal Welfare",10/2024,"$69,900"
"Cure Alzheimer&#8217;s Fund — Research Leadership Group","Cure Alzheimer's Fund","Alzheimer's Research","Scientific Research; Alzheimer's Research",05/2019,"$33,941"
"Cures Within Reach  —  Generic Drug Trials (2024)","Cures Within Reach","Global Health R&amp;D","Global Health R&amp;D",11/2024,"$1,492,040"
"Cures Within Reach — Generic Drug Trials","Cures Within Reach","Global Health R&amp;D","Global Health R&amp;D",05/2023,"$800,000"
"Cynthia Schuck &#038; Wladimir Alonso — DALY Project","Cynthia Schuck &amp; Wladimir Alonso","Farm Animal Welfare","Farm Animal Welfare",02/2018,"$96,130"
"Cynthia Schuck &#038; Wladimir Alonso — DALY Project (2019)","Cynthia Schuck &amp; Wladimir Alonso","Farm Animal Welfare","Farm Animal Welfare",01/2019,"$100,000"
"Dalhousie University — Colostrum and Neonatal Sepsis Research","Dalhousie University","Scientific Research","Scientific Research",10/2024,"$5,307,885"
"Dalhousie University — Colostrum Research","Dalhousie University","Global Health and Wellbeing","Global Health and Wellbeing; Scientific Research",10/2024,"$5,307,885"
"Dandelion Labs — Machine Learning and AI Safety Bootcamps","Dandelion Labs","Global Catastrophic Risks","Global Catastrophic Risks",11/2023,"$104,803"
"Daniel Kang — LLM Hacking Benchmarks","Daniel Kang","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2025,"$265,000"
"Daniel Kang — Research on AI Benchmarks","Daniel Kang","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",12/2024,"$680,000"
"Dartmouth — Course Buyouts",Dartmouth,"Innovation Policy","Innovation Policy",09/2024,"$349,000"
"Dartmouth — Economics Ph.D. Fellowship",Dartmouth,"Effective Giving and Careers","Effective Giving and Careers",02/2025,"$134,200"
"Dartmouth — Productivity Growth Project",Dartmouth,"Abundance &amp; Growth","Abundance &amp; Growth",04/2025,"$550,000"
"Dartmouth — Workshop Travel Expenses (January 2024)",Dartmouth,"Innovation Policy","Innovation Policy",01/2024,"$11,000"
"Dartmouth — Workshop Travel Expenses (March 2024)",Dartmouth,"Innovation Policy","Innovation Policy",03/2024,"$20,000"
"Data for Decisions — Syphilis Vaccine Economic Research","Data for Decisions","Global Health & Development","Global Health & Development",12/2022,"$414,804"
"Data for India — Public Health and Development Data Analysis","Data for India","Global Health and Wellbeing","Global Health and Wellbeing",08/2024,"$600,000"
"Debt Collective — Criminal Justice Reform Work","The Debt Collective","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$75,000"
"Desegregate CT — Data Project with the Urban Institute","Desegregate CT","Housing Policy Reform","Housing Policy Reform",11/2021,"$75,000"
"DesegregateCT — YIMBYtown (2025)","Desegregate CT","Abundance &amp; Growth","Abundance &amp; Growth; Housing Policy Reform",02/2025,"$75,000"
"Detroit Justice Center — General Support","Detroit Justice Center","Criminal Justice Reform","Criminal Justice Reform",01/2018,"$50,000"
"Development Innovation Ventures — Scaling Up Global Health Interventions","Development Innovation Ventures","Global Health & Development","Global Health & Development",01/2023,"$45,000,000"
"Development Learning Lab — Knowledge Reviews, Policy Reports, and Knowledge Services","Development Learning Lab","Global Aid Policy","Global Aid Policy",01/2024,"$300,000"
"Development Media International — Exit Grant","Development Media International","Global Health & Development","Global Health & Development",10/2021,"$100,000"
"Development Media International — General Support (December 2014)","Development Media International","Global Health & Development","Global Health & Development",12/2014,"$250,000"
"Development Media International — General Support (December 2015)","Development Media International","Global Health & Development","Global Health & Development",12/2015,"$250,000"
"Development Media International — General Support (December 2016)","Development Media International","Global Health & Development","Global Health & Development",12/2016,"$250,000"
"Development Media International — General Support (December 2017)","Development Media International","Global Health & Development","Global Health & Development",12/2017,"$100,000"
"Development Media International — General Support (December 2018)","Development Media International","Global Health & Development","Global Health & Development",12/2018,"$100,000"
"Development Media International — General Support (December 2020)","Development Media International","Global Health & Development","Global Health & Development",12/2020,"$50,000"
"Development Media International — General Support (January 2020)","Development Media International","Global Health & Development","Global Health & Development",01/2020,"$100,000"
"Deworm the World Initiative — General Support","Evidence Action","Global Health & Development","Global Health & Development",01/2016,"$10,790,000"
"Deworm the World Initiative — General Support","Evidence Action","Global Health & Development","Global Health & Development",12/2013,"$1,500,000"
"Deworm the World Initiative — General Support","Evidence Action","Global Health & Development","Global Health & Development",12/2017,"$15,200,000"
"Deworm the World Initiative — General Support","Evidence Action","Global Health & Development","Global Health & Development",01/2017,"$4,470,000"
"Deworm the World Initiative — General Support","Evidence Action","Global Health & Development","Global Health & Development",12/2014,"$250,000"
"Deworm the World Initiative — General Support (December 2018)","Evidence Action","Global Health & Development","Global Health & Development",12/2018,"$10,400,000"
"Dezernat Zukunft — Exit Grant","Dezernat Zukunft","Macroeconomic Policy","Macroeconomic Policy",05/2023,"$2,000,000"
"Dezernat Zukunft — General Support and Re-Granting","Dezernat Zukunft","Macroeconomic Policy","Macroeconomic Policy",07/2021,"$4,000,000"
"Dezernat Zukunft — Monetary and Fiscal Policy in Europe (2020)","Dezernat Zukunft","Macroeconomic Policy","Macroeconomic Policy",11/2020,"$202,079"
"Dezernat Zukunft — Re-Granting (2022)","Dezernat Zukunft","Macroeconomic Policy","Macroeconomic Policy",03/2022,"$2,400,000"
"Dignity and Power Now — Convening to Oppose L.A. Jail Construction","Dignity and Power Now","Criminal Justice Reform","Criminal Justice Reform",06/2017,"$132,000"
"Dignity and Power Now — Decarceration Work","Dignity and Power Now","Criminal Justice Reform","Criminal Justice Reform",12/2020,"$1,700,000"
"Dignity and Power Now — JusticeLA Campaign","Dignity and Power Now","Criminal Justice Reform","Criminal Justice Reform",10/2017,"$500,000"
"Direct Relief — COVID-19 Action Fund for Africa","Direct Relief","Global Health & Development","Global Health & Development",10/2020,"$275,000"
"Distill Prize for Clarity in Machine Learning — General Support","Distill Prize for Clarity in Machine Learning","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",03/2017,"$25,000"
"Doneer Effectief — General Support","Doneer Effectief","Effective Giving and Careers","Effective Giving and Careers",08/2023,"$836,000"
"Dream Corps — Criminal Justice and Criminalization","Dream Corps","Criminal Justice Reform","Criminal Justice Reform",12/2016,"$500,000"
"DRIIV Foundation — Air Quality Sensors in Delhi","DRIIV Foundation","South Asian Air Quality","South Asian Air Quality",05/2024,"$52,494"
"Drug Policy Alliance — Drug Decriminalization","Drug Policy Alliance","Criminal Justice Reform","Criminal Justice Reform",03/2017,"$1,331,597"
"Drug Policy Alliance — General Support","Drug Policy Alliance","Drug Policy Reform","Drug Policy Reform",08/2015,"$150,000"
"Drug Policy Alliance — General Support","Drug Policy Alliance","Drug Policy Reform","Drug Policy Reform",09/2013,"$150,000"
"Drug Policy Alliance — General Support","Drug Policy Alliance","Drug Policy Reform","Drug Policy Reform",08/2016,"$150,000"
"Drug Policy Alliance — General Support","Drug Policy Alliance","Drug Policy Reform","Drug Policy Reform",09/2014,"$150,000"
"Drug Policy Alliance — General Support","Drug Policy Alliance","Drug Policy Reform","Drug Policy Reform",06/2012,"$150,000"
"Drug Policy Alliance — General Support (2017)","Drug Policy Alliance","Drug Policy Reform","Drug Policy Reform",09/2017,"$300,000"
"Drugs &#038; Diagnostics for Tropical Diseases — Rapid Diagnostic Tests","Drugs &amp; Diagnostics for Tropical Diseases","Global Health R&amp;D","Global Health R&amp;D",11/2024,"$356,000"
"Duke University — COVID-19 Antiviral Studies (Ria Goswami)","Duke University","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",05/2020,"$130,982"
"Duke University — COVID-19 Antiviral Studies (Timothy Haystead)","Duke University","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",03/2022,"$14,355"
"Duke University — CRISPR-Based Epigenome Editing Tools (Charles Gersbach)","Duke University","Scientific Research","Scientific Research",10/2018,"$2,550,171"
"Duke University — Hsp70i and Inhibitor HS-72 (Timothy Haystead)","Duke University","Scientific Research","Scientific Research",06/2017,"$81,500"
"Durham for All — Fellowship Program","Durham for All","Criminal Justice Reform","Criminal Justice Reform",06/2019,"$50,000"
"Dyrevernalliansen — Fish Welfare (2017)","Dyrevernalliansen (The Norwegian Animal Protection Alliance)","Farm Animal Welfare","Farm Animal Welfare",02/2017,"$378,000"
"Dyrevernalliansen — Fish Welfare (2021)",Dyrevernalliansen,"Farm Animal Welfare","Farm Animal Welfare",06/2021,"$300,000"
"EA Funds — Operating Expenses (2025)","Effective Altruism Funds","Global Catastrophic Risks","Global Catastrophic Risks",01/2025,"$602,000"
"EA Netherlands — AI Safety Retreat","EA Netherlands","Global Catastrophic Risks","Global Catastrophic Risks",04/2024,"$25,000"
"EA Nigeria — Community-building Projects","EA Nigeria","Effective Giving and Careers","Effective Giving and Careers",11/2024,"$9,293"
"EA Scholarships — Scholarship Support (2019)","EA Scholarships","Effective Giving and Careers","Effective Giving and Careers",09/2019,"$5,676"
"Early-Career Funding for GCBRs — Scholarship Support (2022)",,"Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",01/2022,"$985,926"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2018)","Early-Career Funding for Global Catastrophic Biological Risks","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",05/2018,"$570,000"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2019-2020)","Early-Career Funding for Global Catastrophic Biological Risks","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",07/2020,"$1,357,237"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2021)","Early-Career Funding for Global Catastrophic Biological Risks","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",01/2021,"$2,290,028"
"Early-Career Funding for Improving the Long-Term Future — Scholarship Support (2021)","Early-career funding for individuals interested in improving the long-term future","Other Areas","Other Areas",02/2021,"$1,766,373"
"Early-Career Funding for Improving the Long-Term Future — Scholarship Support (2022)","Early-career funding for individuals interested in improving the long-term future","Other Areas","Other Areas",02/2022,"$4,823,000"
"East Bay Forward — YIMBYtown 2017 Conference","East Bay Forward","Housing Policy Reform","Housing Policy Reform",04/2017,"$40,000"
"Economic Policy Institute — Macroeconomic Policy Research","Economic Policy Institute","Macroeconomic Policy","Macroeconomic Policy",06/2016,"$500,000"
"Economic Policy Institute — Macroeconomic Policy Research (2018)","Economic Policy Institute","Macroeconomic Policy","Macroeconomic Policy",07/2018,"$700,000"
"Economic Policy Institute — Macroeconomic Policy Research (2020)","Economic Policy Institute","Macroeconomic Policy","Macroeconomic Policy",08/2020,"$550,000"
"Effective Altruism Consulting Network — General Support",consultants-for-impact,"Effective Giving and Careers","Effective Giving and Careers",12/2022,"$34,500"
"Effective Altruism Consulting Network — General Support (2023)",consultants-for-impact,"Effective Giving and Careers","Effective Giving and Careers",05/2023,"$380,000"
"Effective Altruism Debate Championship — General Support","Effective Altruism Debate Championship","Effective Giving and Careers","Effective Giving and Careers",01/2021,"$5,915"
"Effective Altruism Foundation — Research and Operations","Effective Altruism Foundation","Effective Giving and Careers","Effective Giving and Careers",07/2019,"$1,000,000"
"Effective Altruism Funds — Long-Term Future and Infrastructure Fund Regranting","Effective Altruism Funds","Effective Giving and Careers","Effective Giving and Careers",02/2023,"$3,150,000"
"Effective Altruism Funds — Operating Expenses","Effective Altruism Funds","Effective Giving and Careers","Effective Giving and Careers",08/2022,"$573,000"
"Effective Altruism Funds — Regranting and Operations Support (December 2023)","Effective Altruism Funds","Global Catastrophic Risks","Global Catastrophic Risks",12/2023,"$5,026,513"
"Effective Altruism Funds — Regranting and Operations Support (May 2023)","Effective Altruism Funds","Effective Giving and Careers","Effective Giving and Careers",05/2023,"$3,370,000"
"Effective Altruism Funds — Regranting Support","Effective Altruism Funds",Longtermism,"Longtermism; Effective Giving and Careers",02/2022,"$7,783,000"
"Effective Altruism Germany — ML4Good Bootcamp (2024)","Effective Altruism Germany","Global Catastrophic Risks","Global Catastrophic Risks",05/2024,"$57,000"
"Effective Altruism Switzerland — Zurich Coworking Space","Effective Altruism Switzerland","Global Catastrophic Risks","Global Catastrophic Risks",06/2023,"$101,426"
"Effective Altruist Communications Fellowship — Summer 2022 Fellowship","Effective Altruist Communications Fellowship","Effective Giving and Careers","Effective Giving and Careers",05/2022,"$585,000"
"Effective Institutions Project — AI Governance Work","Effective Institutions Project","Global Catastrophic Risks","Global Catastrophic Risks",09/2024,"$400,000"
"Effective Ventures Foundation — AI Safety Communications Centre","Effective Ventures Foundation","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$288,000"
"Effective Ventures Foundation — Effective Giving Summit (January 2023)","Effective Ventures Foundation","Effective Giving and Careers","Effective Giving and Careers",01/2023,"$59,344"
"Effective Ventures Foundation — Effective Giving Summit (November 2023)","Effective Ventures Foundation","Effective Giving and Careers","Effective Giving and Careers",11/2023,"$56,608"
"Effective Ventures Foundation — Event Venue","Effective Ventures Foundation","Effective Giving and Careers","Effective Giving and Careers",12/2021,"$23,212,677"
"Effective Ventures Foundation — General Support","Effective Ventures Foundation","Effective Giving and Careers","Effective Giving and Careers",12/2022,"$11,425,000"
"Effective Ventures Foundation — Office Space","Effective Ventures Foundation","Effective Giving and Careers","Effective Giving and Careers",12/2022,"$1,835,390"
"Effective Ventures Foundation — Office Space (2023)","Effective Ventures Foundation","Global Catastrophic Risks","Global Catastrophic Risks",10/2023,"$320,000"
"Effective Ventures Foundation — Office Space (2024)","Effective Ventures Foundation","Global Catastrophic Risks","Global Catastrophic Risks",02/2024,"$500,000"
"Effective Ventures Foundation — Support for What We Owe The Future","Effective Ventures Foundation","Effective Giving and Careers","Effective Giving and Careers",01/2023,"$37,128"
"Effective Ventures Foundation USA — Asterisk (2023)","Effective Ventures Foundation USA","Effective Giving and Careers","Effective Giving and Careers",04/2023,"$937,228"
"Effective Ventures Foundation USA — Asterisk Magazine","Effective Ventures Foundation USA","Effective Giving and Careers","Effective Giving and Careers",01/2022,"$730,000"
"Effective Ventures Foundation USA — General Support","Effective Ventures Foundation USA","Effective Giving and Careers","Effective Giving and Careers",02/2023,"$2,750,000"
"Effective Ventures Foundation USA — Harvard Square Coworking Space","Effective Ventures Foundation USA","Effective Giving and Careers","Effective Giving and Careers",04/2023,"$7,644,020"
"Effective Ventures Foundation USA — Support for What We Owe the Future","Effective Ventures Foundation USA","Effective Giving and Careers","Effective Giving and Careers",03/2023,"$75,617"
"Effektiv Spenden — Berlin Coworking Space","Effektiv Spenden","Global Catastrophic Risks","Global Catastrophic Risks",01/2025,"$109,000"
"Effektiv Spenden — General Support","Effektiv Spenden","Effective Giving and Careers","Effective Giving and Careers",11/2022,"$2,322,542"
"Effektiv Spenden — German Translation of The Life You Can Save","Effektiv Spenden","Effective Giving and Careers","Effective Giving and Careers",08/2022,"$25,458"
"Eleanor Crook Foundation — Global Malnutrition Regranting ","Eleanor Crook Foundation","Global Health & Development","Global Health & Development",03/2023,"$17,000,000"
"Electronic Frontier Foundation — AI Scenarios and Social Impacts","Electronic Frontier Foundation","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",11/2016,"$199,000"
"Eleuther AI — Interpretability Research","Eleuther AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2023,"$2,642,273"
"Elle Pfeffer — Dissertation Research","Elle Pfeffer","Criminal Justice Reform","Criminal Justice Reform",07/2021,"$5,000"
"Employ America — Exit Grant","Employ America","Macroeconomic Policy","Macroeconomic Policy",01/2022,"$750,000"
"Employ America — General Support","Employ America","Macroeconomic Policy","Macroeconomic Policy",04/2019,"$150,000"
"Employ America — General Support (2020)","Employ America","Macroeconomic Policy","Macroeconomic Policy",07/2020,"$700,000"
"Employ America — General Support (2021)","Employ America","Macroeconomic Policy","Macroeconomic Policy",05/2021,"$750,000"
"Employ America — General Support (October 2019)","Employ America","Macroeconomic Policy","Macroeconomic Policy",10/2019,"$500,000"
"Encompass — Diversity in the Farm Animal Welfare Movement",Encompass,"Farm Animal Welfare","Farm Animal Welfare",05/2020,"$200,000"
"Energy for Growth Hub — General Support","The Energy for Growth Hub","Economic Growth in LMICs","Economic Growth in LMICs",10/2023,"$500,000"
"Engineers Without Borders International — Strategic Planning","Engineers Without Borders International","Scientific Research","Scientific Research",10/2022,"$50,000"
"Engineers Without Borders USA — COVID-19 Hospital Equipment","Engineers Without Borders USA","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",04/2020,"$250,000"
"Engineers without Borders USA — Off-Grid Refrigeration Challenge","Engineers Without Borders USA","Scientific Research","Scientific Research",05/2019,"$500,000"
"Environment &#038; Animal Society of Taiwan — Farm Animal Welfare in Taiwan (2021)","Environmental &amp; Animal Society of Taiwan","Farm Animal Welfare","Farm Animal Welfare",09/2021,"$1,092,750"
"Environment &#038; Animal Society of Taiwan — Farm Animal Welfare in Taiwan (2025)","Environmental &amp; Animal Society of Taiwan","Farm Animal Welfare","Farm Animal Welfare",03/2025,"$517,000"
"Environmental &#038; Animal Society of Taiwan — Farm Animal Welfare Campaigns","Environmental &amp; Animal Society of Taiwan","Farm Animal Welfare","Farm Animal Welfare",01/2020,"$326,000"
"Eon Essay Contest — The Precipice Essay Contest (2023)","Eon Essay Contest",Longtermism,"Longtermism; Effective Giving and Careers",01/2023,"$62,470"
"Eon Essay Contest — The Precipice Essay Contest (2024)","Eon Essay Contest","Global Catastrophic Risks","Global Catastrophic Risks",03/2024,"$76,382"
"Epistea — AI Safety Conference",Epistea,"Global Catastrophic Risks","Global Catastrophic Risks",03/2025,"$326,630"
"Epoch — AI Worldview Investigations",Epoch,"Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2023,"$188,558"
"Epoch — General Support (2023)",Epoch,"Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2023,"$6,922,565"
"Epoch AI — FrontierMath Benchmark Improvements",Epoch,"Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",03/2025,"$70,000"
"Epoch AI — General Support (2025)",Epoch,"Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",02/2025,"$4,132,488"
"Epoch-General Support",Epoch,"Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",06/2022,"$1,960,000"
"Equalia — Broiler Welfare and Cage-Free Campaigns and International Farm Animal Welfare Investigations","Animal Welfare Observatory","Farm Animal Welfare","Farm Animal Welfare",04/2020,"$150,000"
"Equalia — Corporate Campaigns (2022)","Animal Welfare Observatory","Farm Animal Welfare","Farm Animal Welfare",11/2022,"$2,409,106"
"Equalia — General Support","Animal Welfare Observatory","Farm Animal Welfare","Farm Animal Welfare",05/2021,"$817,000"
"Equalia — Welfare Campaigns and Farm Animal Welfare Investigations","Animal Welfare Observatory","Farm Animal Welfare","Farm Animal Welfare",04/2020,"$150,000"
"Equity and Transformation — General Support","Equity and Transformation","Criminal Justice Reform","Criminal Justice Reform",04/2020,"$25,000"
"Equity and Transformation — General Support (2021)","Equity and Transformation","Criminal Justice Reform","Criminal Justice Reform",03/2021,"$100,000"
"ERA – AI Fellowships (2025)",ERA,"Global Catastrophic Risks","Global Catastrophic Risks",01/2025,"$2,344,072"
"Erasmus MC, University Medical Center Rotterdam — Emodepside Disease Modeling","Erasmus MC, University Medical Center Rotterdam","Global Health R&amp;D","Global Health R&amp;D",07/2024,"$220,158"
"Esade — Course Buyouts",Esade,"Innovation Policy","Innovation Policy",12/2024,"$135,000"
"Essere Animali — Farm Animal Welfare in Italy (2022)","Essere Animali","Farm Animal Welfare","Farm Animal Welfare",04/2022,"$554,000"
"Essere Animali — Farm Animal Welfare Work in Italy","Essere Animali","Farm Animal Welfare","Farm Animal Welfare",02/2019,"$150,000"
"Essere Animali — Farm Animal Welfare Work in Italy (2020)","Essere Animali","Farm Animal Welfare","Farm Animal Welfare",01/2020,"$462,974"
"Essie Justice Group — General Support","Essie Justice Group","Criminal Justice Reform","Criminal Justice Reform",10/2017,"$300,000"
"Essie Justice Group — General Support","Essie Justice Group","Criminal Justice Reform","Criminal Justice Reform",10/2016,"$600,000"
"Essie Justice Group — General Support (December 2019)","Essie Justice Group","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$3,000,000"
"ETH Zürich — LLM Adversarial Attacks Benchmark","ETH Zürich","Potential Risks from Advanced AI","Potential Risks from Advanced AI",09/2024,"$130,000"
"ETH Zurich — Research on Prompt Injection Attacks","ETH Zürich","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2025,"$20,000"
"ETH Zurich Foundation (USA) — Machine Learning Research Support","ETH Zurich Foundation (USA)","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2023,"$25,000"
"Ethical Seafood Research — Research on Farmed Tilapia Welfare in Egypt","Ethical Seafood Research","Fish Welfare","Fish Welfare; Farm Animal Welfare",05/2023,"$56,250"
"Eurogroup for Animals — European Union Trade Strategy (2024)","Eurogroup for Animals","Farm Animal Welfare","Farm Animal Welfare",05/2024,"$460,621"
"Eurogroup for Animals — Fish Welfare","Eurogroup for Animals","Farm Animal Welfare","Farm Animal Welfare",12/2016,"$535,699"
"European Institute for Animal Law and Policy — Farm Animal Welfare Advocacy","European Institute for Animal Law and Policy","Farm Animal Welfare","Farm Animal Welfare",10/2022,"$430,000"
"European Summer Program on Rationality — General Support (2022)","European Summer Program on Rationality",Longtermism,Longtermism,05/2022,"$4,715,000"
"Evidence Action — Accelerator Program","Evidence Action","Global Health & Development","Global Health & Development",01/2022,"$14,006,277"
"Evidence Action — Deworm the World Initiative","Evidence Action","Global Health & Development","Global Health & Development",12/2020,"$4,103,000"
"Evidence Action — Deworm the World Initiative (March 2024)","Evidence Action","Global Health & Development","Global Health & Development",03/2024,"$4,371,604"
"Evidence Action — Dispensers for Safe Water Program","Evidence Action","Global Health & Development","Global Health & Development",12/2017,"$100,000"
"Evidence Action — Dispensers for Safe Water Program (2018)","Evidence Action","Global Health & Development","Global Health & Development",12/2018,"$100,000"
"Evidence Action — Dispensers for Safe Water Program (2019)","Evidence Action","Global Health & Development","Global Health & Development",12/2019,"$100,000"
